query,target,Similarity
O[C@@H]1[C@H]2O[C@@H]3O[C@@H]([C@@H]2OCc2ccccc2)[C@]2(CO2)[C@@H]1O3,Cc1cccc([C@@]23NC(=O)[C@H]4[C@@H]2[C@H]2C[C@H]4[C@H](O)[C@H]2O3)c1,0.349507735583685
COc1ccc(CNC(=O)C(=O)NC(C)C)cc1,COC(=O)C(C)(C)NC(=O)CNC(=O)c1ccc(F)cc1,0.34912280701754383
Cc1cccc([C@@]23NC(=O)[C@H]4[C@@H]2[C@H]2C[C@H]4[C@H](O)[C@H]2O3)c1,O=C(N[C@H]1COCC[C@@H]1O)c1cc(=O)c2ccccc2o1,0.34862970044614405
O=C(O)CNS(=O)(=O)c1ccc2c(c1)COC2,Cc1ccc(S(=O)(=O)N(C)C)cc1NC(=O)[C@@H]1CCO1,0.3480225988700565
CCOC(=O)C1=C(C)N[C@@]2(O)c3ccccc3C(=O)[C@@]12O,COC(=O)CNC(=O)c1coc2ccccc2c1=O,0.3465623253214086
CCOC(=O)C1=C(C)N[C@@]2(O)c3ccccc3C(=O)[C@]12O,COC(=O)CNC(=O)c1coc2ccccc2c1=O,0.3465623253214086
O=C(N[C@]1(CCO)CCOC1)c1nc[nH]c2nccc1-2,O=C1[C@H]2OC[C@@H](O2)[C@@H]2ON=C(c3ccc4c(c3)OCO4)[C@H]12,0.3450479233226837
NC(=O)[C@H](NC(=O)c1ccc[nH]c1=O)c1ccccc1,O=C(Nc1nnc[nH]1)c1c[nH]c(=O)c2ccccc12,0.34418145956607493
NC(=O)[C@H](NC(=O)c1ccc[nH]c1=O)c1ccccc1,O=C(CNC(=O)c1ccc2n[nH]cc2c1)NCC(F)F,0.34330143540669855
CC(C)C[C@H](CNC(=O)c1ccc(O)nn1)N(C)C,O=C(NC(CO)CO)c1cc(COc2ccccc2)[nH]n1,0.3430379746835443
CNC(=O)c1ccc(CN[C@@H]2CCCS(=O)(=O)C2)cc1,CC1=NNC(=O)[C@@H]1CCNC(=O)c1ccc(C(=O)O)cc1,0.34281650071123754
O=C1COc2cc(C(=O)NCCc3cn[nH]c3)ccc2N1,COC(=O)CC(=O)Nc1ccccc1C(=O)N(C)C,0.34276387377584333
CCOC(=O)C1=C(C)N[C@@]2(O)c3ccccc3C(=O)[C@@]12O,O=C(Cc1cccc(Cl)c1)N[C@H]1CO[C@@H]2[C@H](O)CO[C@H]12,0.34212002243409984
CCOC(=O)C1=C(C)N[C@@]2(O)c3ccccc3C(=O)[C@]12O,O=C(Cc1cccc(Cl)c1)N[C@H]1CO[C@@H]2[C@H](O)CO[C@H]12,0.34212002243409984
O=C1CC[C@H](C(=O)NCCc2ccc3c(c2)OCO3)N1,O=C(O)CCNC(=O)c1ccc2c(c1)OCCO2,0.34203655352480417
Cc1ccc(S(=O)(=O)N(C)C)cc1NC(=O)[C@@H]1CCO1,Cc1cccc(NC(=O)CCNC(=O)[C@@H]2COCCO2)c1,0.34186046511627904
CCCNC(=O)C(=O)NCCc1ccc(OC)c(OC)c1,C[Si](C)(C)c1ccc(CC(=O)NCC(N)=O)cc1,0.3418467583497053
O=C(Cc1n[nH]c(=O)c2ccccc12)NC[C@@H]1CCCO1,O=C(Cc1cccc(Cl)c1)N[C@H]1CO[C@@H]2[C@H](O)CO[C@H]12,0.34172313649564373
O=C1NC(=S)NC(=O)C1=C1OC(=O)c2ccccc21,CC(Nc1cccc(C(=O)O)c1)=C1C(=O)NC(=O)NC1=O,0.34044444444444444
O=c1[nH]c(O)c(Cc2ccc3c(c2)OCO3)c(=O)[nH]1,O=C1CC[C@H](C(=O)NCCc2ccc3c(c2)OCO3)N1,0.33995584988962474
NCc1cccc(C(=O)N(CCO)Cc2ncc[nH]2)c1,NC(=O)CNC(=O)c1ccc(OCC(=O)C2CC2)cc1,0.33990895295902884
Cc1cccc([C@@]23NC(=O)[C@H]4[C@@H]2[C@H]2C[C@H]4[C@H](O)[C@H]2O3)c1,O=C(N[C@H]1CCS(=O)(=O)C1)c1cccc2c1COC2,0.3398123324396783
CCOC(=O)c1cc(C(=O)OCC)c(=O)[nH]c1NN,NC(=O)[C@H](NC(=O)c1ccc[nH]c1=O)c1ccccc1,0.3388888888888889
O=C1NC[C@@H](COc2ccc3c(c2)CCNC3=O)O1,CCCNC(=O)C(=O)NCCc1ccc(OC)c(OC)c1,0.3384813384813385
Cc1cccc([C@@]23NC(=O)[C@H]4[C@@H]2[C@H]2C[C@H]4[C@H](O)[C@H]2O3)c1,CC(=O)C[C@H](c1ccccc1)c1c(O)[nH]c(=O)[nH]c1=O,0.33780332056194123
O=C1[C@H]2OC[C@@H](O2)[C@@H]2ON=C(c3ccc4c(c3)OCO4)[C@H]12,NC(=O)c1nc(-c2ccccc2)oc1S(N)(=O)=O,0.33780332056194123
O=C(O)CCNC(=O)c1ccc2c(c1)OCCO2,COC(=O)[C@](C)(O)CNC(=O)COc1cc(C)ccc1C,0.3374485596707819
O=C(CNC(=O)c1ccc(Cl)cc1)O[C@@H]1CCOC1=O,NCc1cccc(C(=O)N(CCO)Cc2ncc[nH]2)c1,0.33707865168539325
O=C(COC(=O)c1ccc(O)cc1)NC[C@@H]1CCCO1,COC(=O)[C@H](COCc1ccccc1)NC(=O)C(C)(C)N,0.33653846153846156
NCc1cccc(S(=O)(=O)NCC(F)(F)F)c1,CN(CC(=O)O)S(=O)(=O)c1ccc2c(c1)OCO2,0.33649932157394846
O=c1[nH]c(O)c(Cc2ccc3c(c2)OCO3)c(=O)[nH]1,O=C1[C@H]2OC[C@@H](O2)[C@@H]2ON=C(c3ccc4c(c3)OCO4)[C@H]12,0.3364153627311522
Cc1cccc([C@@]23NC(=O)[C@H]4[C@@H]2[C@H]2C[C@H]4[C@H](O)[C@H]2O3)c1,CNC(=O)C(=O)Nc1c(C(N)=O)oc2ccccc12,0.336
CC1=NNC(=O)[C@@H]1CCNC(=O)c1ccc(C(=O)O)cc1,NC(=O)CNC(=O)c1ccc(OCC(=O)C2CC2)cc1,0.3357245337159254
O=C1NC[C@@H](COc2ccc3c(c2)CCNC3=O)O1,COC(=O)[C@](C)(O)CNC(=O)COc1cc(C)ccc1C,0.334867663981588
O=C(N[C@]1(CCO)CCOC1)c1nc[nH]c2nccc1-2,O=C(N[C@H]1COCC[C@@H]1O)c1cc(=O)c2ccccc2o1,0.3346456692913386
C[C@@]1(C(=O)NCc2ccc(CO)c(F)c2)CCCNC1=O,CC1=NNC(=O)[C@@H]1CCNC(=O)c1ccc(C(=O)O)cc1,0.3345959595959596
O=C(O)CCNC(=O)c1ccc2c(c1)OCCO2,COc1cccc(F)c1C(=O)NCCc1n[nH]c(=O)[nH]1,0.3344671201814059
CCOC(=O)C1=C(C)N[C@@]2(O)c3ccccc3C(=O)[C@]12O,CNC(=O)C[C@H]1CS(=O)(=O)c2ccccc2O1,0.3342541436464088
CCOC(=O)C1=C(C)N[C@@]2(O)c3ccccc3C(=O)[C@@]12O,CNC(=O)C[C@H]1CS(=O)(=O)c2ccccc2O1,0.3342541436464088
